vl_launch_value	nu_installments	dt_reference	day_reference	month_reference	year_reference	tp_installment	id_allocation	id_classification	id_subclassification
continuous	discrete	time	continuous	continuous	continuous	discrete	discrete	discrete	continuous
									
2847.95	1	2018-05-21	21.0	5.0	2018.0	2	8	25	102.0
700.0	1	2018-05-15	15.0	5.0	2018.0	2	8	16	48.0
700.0	1	2018-05-15	15.0	5.0	2018.0	2	8	16	48.0
700.0	1	2018-05-15	15.0	5.0	2018.0	2	8	16	48.0
700.0	1	2018-05-15	15.0	5.0	2018.0	2	8	16	48.0
100.0	1	2018-05-15	15.0	5.0	2018.0	2	8	16	48.0
700.0	1	2018-05-15	15.0	5.0	2018.0	2	8	16	48.0
233.8	1	2018-05-15	15.0	5.0	2018.0	2	8	20	81.0
76.5	1	2018-05-15	15.0	5.0	2018.0	2	8	16	53.0
23000.0	1	2018-05-15	15.0	5.0	2018.0	2	180	30	124.0
1428.0	1	2018-05-15	15.0	5.0	2018.0	2	9	16	46.0
732.64	1	2018-05-15	15.0	5.0	2018.0	2	8	16	46.0
39.0	1	2018-05-15	15.0	5.0	2018.0	2	8	20	80.0
229.0	1	2018-05-21	21.0	5.0	2018.0	2	8	20	68.0
15.0	1	2018-05-29	29.0	5.0	2018.0	2	8	20	81.0
242.07	1	2018-05-22	22.0	5.0	2018.0	2	8	20	61.0
399.37	1	2018-05-22	22.0	5.0	2018.0	2	8	20	61.0
200.0	1	2018-05-24	24.0	5.0	2018.0	2	8	20	80.0
39.0	1	2018-05-24	24.0	5.0	2018.0	2	8	20	80.0
2500.0	1	2018-05-24	24.0	5.0	2018.0	2	8	28	117.0
699.9	1	2018-05-24	24.0	5.0	2018.0	2	10	20	80.0
172.26	1	2018-05-25	25.0	5.0	2018.0	2	8	20	62.0
30.0	1	2018-04-27	27.0	4.0	2018.0	2	8	16	139.0
552.0	1	2018-04-27	27.0	4.0	2018.0	2	8	9	183.0
637.18	1	2018-05-18	18.0	5.0	2018.0	2	8	25	108.0
8963.44	1	2018-05-14	14.0	5.0	2018.0	2	8	28	117.0
17341.0	1	2018-05-18	18.0	5.0	2018.0	2	180	30	124.0
552.0	1	2018-05-18	18.0	5.0	2018.0	2	8	9	183.0
3740.0	1	2018-05-18	18.0	5.0	2018.0	2	8	16	35.0
2804.0	1	2018-05-18	18.0	5.0	2018.0	2	8	16	36.0
26148.5	1	2018-05-24	24.0	5.0	2018.0	2	8	28	117.0
1288.0	1	2018-05-18	18.0	5.0	2018.0	2	10	16	36.0
1050.0	1	2018-05-18	18.0	5.0	2018.0	2	8	16	48.0
99.0	1	2018-05-22	22.0	5.0	2018.0	2	8	20	68.0
150.0	1	2018-05-29	29.0	5.0	2018.0	2	10	28	117.0
2056.73	1	2018-05-18	18.0	5.0	2018.0	2	8	25	109.0
505.99	1	2018-05-22	22.0	5.0	2018.0	2	8	20	68.0
673.64	1	2018-05-22	22.0	5.0	2018.0	2	8	20	68.0
3608.38	1	2018-01-16	16.0	1.0	2018.0	2	8	25	102.0
30.0	1	2017-08-19	19.0	8.0	2017.0	2	8	16	651.0
79.9	1	2018-02-19	19.0	2.0	2018.0	2	10	20	80.0
374.93	1	2018-02-19	19.0	2.0	2018.0	2	9	250	361.0
1839.55	1	2018-02-19	19.0	2.0	2018.0	2	8	250	361.0
700.0	1	2017-08-19	19.0	8.0	2017.0	2	8	16	48.0
28.0	1	2017-08-19	19.0	8.0	2017.0	2	8	20	80.0
2000.0	1	2017-08-19	19.0	8.0	2017.0	2	10	28	117.0
30.0	1	2017-10-02	2.0	10.0	2017.0	2	8	16	
150.0	1	2017-08-19	19.0	8.0	2017.0	2	10	20	81.0
449.5	1	2018-05-22	22.0	5.0	2018.0	2	8	20	68.0
120.0	1	2018-05-21	21.0	5.0	2018.0	2	8	83	181.0
73.4	1	2018-05-21	21.0	5.0	2018.0	2	8	26	111.0
450.0	1	2018-05-18	18.0	5.0	2018.0	2	8	20	79.0
650.0	1	2018-05-24	24.0	5.0	2018.0	2	10	28	117.0
700.0	1	2018-04-27	27.0	4.0	2018.0	2	8	16	48.0
700.0	1	2018-04-27	27.0	4.0	2018.0	2	8	16	48.0
3740.0	1	2018-04-27	27.0	4.0	2018.0	2	8	16	35.0
2804.0	1	2018-04-27	27.0	4.0	2018.0	2	8	16	36.0
1277.0	1	2018-04-27	27.0	4.0	2018.0	2	8	16	36.0
1050.0	1	2018-04-27	27.0	4.0	2018.0	2	8	16	48.0
700.0	1	2018-04-27	27.0	4.0	2018.0	2	8	16	48.0
700.0	1	2018-04-27	27.0	4.0	2018.0	2	8	16	48.0
3740.0	1	2018-04-27	27.0	4.0	2018.0	2	8	16	35.0
200.0	1	2018-05-14	14.0	5.0	2018.0	2	8	83	181.0
150.0	1	2018-05-14	14.0	5.0	2018.0	2	8	83	181.0
3740.0	1	2018-05-14	14.0	5.0	2018.0	2	8	16	35.0
1600.0	1	2018-05-14	14.0	5.0	2018.0	2	8	19	56.0
700.0	1	2018-05-18	18.0	5.0	2018.0	2	10	16	48.0
700.0	1	2018-05-18	18.0	5.0	2018.0	2	8	16	48.0
700.0	1	2018-05-18	18.0	5.0	2018.0	2	8	16	48.0
700.0	1	2018-05-18	18.0	5.0	2018.0	2	8	16	48.0
700.0	1	2018-05-18	18.0	5.0	2018.0	2	8	16	48.0
100.0	1	2018-05-18	18.0	5.0	2018.0	2	8	20	81.0
40.0	1	2018-05-21	21.0	5.0	2018.0	2	10	20	80.0
189.0	1	2018-05-22	22.0	5.0	2018.0	2	8	20	80.0
9037.5	1	2018-05-24	24.0	5.0	2018.0	2	8	28	117.0
924.16	1	2018-04-27	27.0	4.0	2018.0	2	8	16	41.0
200.0	1	2018-05-14	14.0	5.0	2018.0	2	8	9	182.0
924.16	1	2018-05-18	18.0	5.0	2018.0	2	8	16	41.0
39.0	1	2018-05-21	21.0	5.0	2018.0	2	10	20	80.0
69.75	1	2018-05-21	21.0	5.0	2018.0	2	8	20	80.0
2236.0	1	2018-05-24	24.0	5.0	2018.0	2	9	16	36.0
1047.0	1	2018-05-24	24.0	5.0	2018.0	2	9	16	36.0
1809.0	1	2018-05-24	24.0	5.0	2018.0	2	9	16	36.0
1139.0	1	2018-05-24	24.0	5.0	2018.0	2	9	16	36.0
594.0	1	2018-02-19	19.0	2.0	2018.0	2	8	20	82.0
700.0	1	2017-08-19	19.0	8.0	2017.0	2	8	16	48.0
700.0	1	2018-02-19	19.0	2.0	2018.0	2	8	16	48.0
28.0	1	2018-02-19	19.0	2.0	2018.0	2	10	20	80.0
779.63	1	2018-02-19	19.0	2.0	2018.0	2	8	20	90.0
700.0	1	2017-08-19	19.0	8.0	2017.0	2	8	16	48.0
2.0	1	2017-08-19	19.0	8.0	2017.0	2	10	20	80.0
718.28	1	2018-02-19	19.0	2.0	2018.0	2	8	25	108.0
3218.28	1	2018-02-19	19.0	2.0	2018.0	2	8	25	102.0
47.67	1	2018-02-19	19.0	2.0	2018.0	2	8	25	349.0
789.6	1	2018-02-19	19.0	2.0	2018.0	2	10	20	80.0
28.0	1	2018-02-19	19.0	2.0	2018.0	2	10	20	80.0
1069.0	1	2018-04-27	27.0	4.0	2018.0	2	8	20	631.0
548.0	1	2018-04-27	27.0	4.0	2018.0	2	8	20	82.0
49.49	1	2018-04-27	27.0	4.0	2018.0	2	8	25	349.0
50.72	1	2018-04-27	27.0	4.0	2018.0	2	8	25	349.0
150.0	1	2018-05-14	14.0	5.0	2018.0	2	8	9	182.0
552.0	1	2018-05-24	24.0	5.0	2018.0	2	9	83	180.0
32.55	1	2018-05-24	24.0	5.0	2018.0	2	9	26	111.0
177.22	1	2018-02-19	19.0	2.0	2018.0	2	8	20	62.0
11.0	1	2018-02-19	19.0	2.0	2018.0	2	8	20	673.0
42.45	1	2018-04-27	27.0	4.0	2018.0	2	8	26	111.0
3740.0	1	2018-05-14	14.0	5.0	2018.0	2	8	16	35.0
2804.0	1	2018-05-14	14.0	5.0	2018.0	2	8	16	36.0
235.05	1	2018-05-14	14.0	5.0	2018.0	2	8	20	61.0
486.27	1	2018-05-14	14.0	5.0	2018.0	2	8	20	61.0
910.12	1	2018-05-14	14.0	5.0	2018.0	2	8	16	41.0
548.0	1	2018-05-14	14.0	5.0	2018.0	2	8	20	82.0
57.1	1	2018-05-18	18.0	5.0	2018.0	2	8	25	103.0
57.1	1	2018-05-18	18.0	5.0	2018.0	2	8	25	103.0
49.0	1	2018-05-18	18.0	5.0	2018.0	2	8	25	349.0
50.22	1	2018-05-18	18.0	5.0	2018.0	2	8	25	349.0
3740.0	1	2018-05-18	18.0	5.0	2018.0	2	8	16	35.0
714.0	1	2018-05-18	18.0	5.0	2018.0	2	8	16	46.0
1428.0	1	2018-05-18	18.0	5.0	2018.0	2	9	16	46.0
648.0	1	2018-05-18	18.0	5.0	2018.0	2	8	20	82.0
257.33	1	2018-05-18	18.0	5.0	2018.0	2	8	16	53.0
108.76	1	2018-05-18	18.0	5.0	2018.0	2	8	25	103.0
450.0	1	2018-05-18	18.0	5.0	2018.0	2	8	16	48.0
56.77	1	2018-05-18	18.0	5.0	2018.0	2	8	20	70.0
552.0	1	2018-04-27	27.0	4.0	2018.0	2	9	83	180.0
2236.0	1	2018-04-27	27.0	4.0	2018.0	2	9	16	36.0
35.0	1	2018-02-19	19.0	2.0	2018.0	2	8	16	292.0
954.0	1	2018-02-19	19.0	2.0	2018.0	2	8	20	91.0
318.79	1	2017-08-19	19.0	8.0	2017.0	2	8	20	61.0
199.78	1	2018-02-19	19.0	2.0	2018.0	2	8	20	61.0
2804.0	1	2018-02-19	19.0	2.0	2018.0	2	8	16	36.0
459.1	1	2018-02-19	19.0	2.0	2018.0	2	8	9	182.0
28.0	1	2017-08-19	19.0	8.0	2017.0	2	10	20	80.0
350.0	1	2017-08-19	19.0	8.0	2017.0	2	10	20	77.0
594.0	1	2017-08-19	19.0	8.0	2017.0	2	8	20	82.0
1600.0	1	2017-08-19	19.0	8.0	2017.0	2	8	19	56.0
71.0	1	2017-08-19	19.0	8.0	2017.0	2	8	26	111.0
1600.0	1	2017-06-29	29.0	6.0	2017.0	2	8	19	56.0
416.67	1	2018-02-19	19.0	2.0	2018.0	2	9	16	38.0
824.25	1	2018-02-19	19.0	2.0	2018.0	2	8	20	86.0
1047.0	1	2018-04-27	27.0	4.0	2018.0	2	9	16	36.0
1809.0	1	2018-04-27	27.0	4.0	2018.0	2	9	16	36.0
1139.0	1	2018-04-27	27.0	4.0	2018.0	2	9	16	36.0
32.55	1	2018-04-27	27.0	4.0	2018.0	2	9	26	111.0
32.55	1	2018-04-27	27.0	4.0	2018.0	2	9	9	183.0
709.0	1	2018-04-27	27.0	4.0	2018.0	2	9	83	180.0
664.0	1	2018-04-27	27.0	4.0	2018.0	2	9	83	180.0
100.0	1	2018-06-08	8.0	6.0	2018.0	2	8	9	182.0
1288.0	1	2018-05-14	14.0	5.0	2018.0	2	8	16	36.0
73.4	1	2018-05-14	14.0	5.0	2018.0	2	8	26	111.0
2500.0	1	2018-05-14	14.0	5.0	2018.0	2	8	28	117.0
2022.69	1	2018-05-14	14.0	5.0	2018.0	2	8	25	109.0
253.09	1	2018-05-24	24.0	5.0	2018.0	2	8	20	86.0
3740.0	1	2018-05-24	24.0	5.0	2018.0	2	8	16	35.0
700.0	1	2018-05-24	24.0	5.0	2018.0	2	8	16	48.0
700.0	1	2018-05-24	24.0	5.0	2018.0	2	8	16	48.0
700.0	1	2018-05-24	24.0	5.0	2018.0	2	8	16	48.0
700.0	1	2018-05-24	24.0	5.0	2018.0	2	8	16	48.0
700.0	1	2018-05-24	24.0	5.0	2018.0	2	8	16	48.0
709.0	1	2018-04-27	27.0	4.0	2018.0	2	8	9	183.0
664.0	1	2018-04-27	27.0	4.0	2018.0	2	8	9	183.0
200.0	1	2018-04-27	27.0	4.0	2018.0	2	8	83	181.0
585.31	1	2018-05-14	14.0	5.0	2018.0	2	8	25	102.0
39.89	1	2018-05-14	14.0	5.0	2018.0	2	8	25	102.0
28.7	1	2018-05-14	14.0	5.0	2018.0	2	8	25	102.0
60.62	1	2018-05-24	24.0	5.0	2018.0	2	8	20	81.0
64.6	1	2018-05-24	24.0	5.0	2018.0	2	8	20	69.0
75.4	1	2018-05-14	14.0	5.0	2018.0	2	8	25	102.0
38.0	1	2018-02-19	19.0	2.0	2018.0	2	8	20	80.0
196.76	1	2018-02-19	19.0	2.0	2018.0	2	8	20	62.0
155.8	1	2017-08-19	19.0	8.0	2017.0	2	8	20	61.0
2000.0	1	2017-06-13	13.0	6.0	2017.0	2	10	28	117.0
700.0	1	2017-09-19	19.0	9.0	2017.0	2	8	16	48.0
883.0	1	2018-02-19	19.0	2.0	2018.0	2	9	16	36.0
149.0	1	2017-09-19	19.0	9.0	2017.0	2	10	28	117.0
196.28	1	2018-02-19	19.0	2.0	2018.0	2	9	25	108.0
219.86	1	2018-02-19	19.0	2.0	2018.0	2	9	250	361.0
313.87	1	2017-08-19	19.0	8.0	2017.0	2	8	20	76.0
700.0	1	2018-02-19	19.0	2.0	2018.0	2	8	16	48.0
38.0	1	2018-02-19	19.0	2.0	2018.0	2	8	20	80.0
2510.15	1	2018-02-19	19.0	2.0	2018.0	2	8	25	109.0
1.84	1	2017-08-19	19.0	8.0	2017.0	2	8	30	125.0
1001.55	1	2018-05-24	24.0	5.0	2018.0	2	8	16	41.0
637.18	1	2018-05-14	14.0	5.0	2018.0	2	8	25	108.0
3740.0	1	2018-04-19	19.0	4.0	2018.0	2	8	16	35.0
2056.73	1	2018-02-19	19.0	2.0	2018.0	2	8	25	109.0
35.0	1	2018-02-19	19.0	2.0	2018.0	2	8	16	292.0
815.0	1	2018-02-19	19.0	2.0	2018.0	2	8	16	48.0
112.0	1	2018-02-19	19.0	2.0	2018.0	2	8	20	80.0
84.0	1	2018-05-24	24.0	5.0	2018.0	2	8	16	36.0
700.0	1	2018-05-24	24.0	5.0	2018.0	2	8	16	48.0
30.0	1	2018-05-24	24.0	5.0	2018.0	2	8	16	651.0
2895.64	1	2018-05-24	24.0	5.0	2018.0	2	8	16	668.0
181.52	1	2018-02-19	19.0	2.0	2018.0	2	8	16	53.0
1428.0	1	2017-09-19	19.0	9.0	2017.0	2	9	16	46.0
35.0	1	2018-02-19	19.0	2.0	2018.0	2	8	16	292.0
413.63	1	2018-02-19	19.0	2.0	2018.0	2	8	26	354.0
1139.0	1	2018-02-19	19.0	2.0	2018.0	2	9	16	36.0
1461.0	1	2018-02-19	19.0	2.0	2018.0	2	9	16	36.0
777.76	1	2018-02-19	19.0	2.0	2018.0	2	8	25	102.0
700.0	1	2018-02-19	19.0	2.0	2018.0	2	8	16	48.0
1250.0	1	2018-02-19	19.0	2.0	2018.0	2	8	28	117.0
410.0	1	2017-09-19	19.0	9.0	2017.0	2	8	16	48.0
35.0	1	2017-10-02	2.0	10.0	2017.0	2	8	20	72.0
3740.0	1	2017-08-19	19.0	8.0	2017.0	2	8	16	35.0
48.86	1	2017-08-19	19.0	8.0	2017.0	2	8	25	349.0
10.5	1	2018-02-19	19.0	2.0	2018.0	2	9	26	111.0
2715.0	1	2017-09-19	19.0	9.0	2017.0	2	8	16	36.0
1139.0	1	2018-02-19	19.0	2.0	2018.0	2	9	16	36.0
149.0	1	2018-02-19	19.0	2.0	2018.0	2	10	28	117.0
779.63	1	2018-02-19	19.0	2.0	2018.0	2	8	20	90.0
1500.0	1	2018-02-19	19.0	2.0	2018.0	2	10	20	79.0
918.55	1	2018-02-19	19.0	2.0	2018.0	2	8	16	41.0
15.75	1	2017-08-19	19.0	8.0	2017.0	2	8	20	74.0
714.0	1	2018-02-19	19.0	2.0	2018.0	2	8	16	46.0
47.67	1	2017-08-19	19.0	8.0	2017.0	2	8	25	349.0
35.0	1	2018-02-19	19.0	2.0	2018.0	2	8	16	292.0
30.0	1	2018-02-19	19.0	2.0	2018.0	2	8	16	139.0
1217.76	1	2017-08-19	19.0	8.0	2017.0	2	8	16	41.0
30.0	1	2018-02-19	19.0	2.0	2018.0	2	8	16	139.0
700.0	1	2018-02-19	19.0	2.0	2018.0	2	8	16	48.0
472.93	1	2018-02-19	19.0	2.0	2018.0	2	8	20	61.0
30.0	1	2018-02-19	19.0	2.0	2018.0	2	8	16	139.0
56.0	1	2018-02-19	19.0	2.0	2018.0	2	8	20	80.0
9.4	1	2017-09-19	19.0	9.0	2017.0	2	8	26	111.0
1343.54	1	2017-12-19	19.0	12.0	2017.0	2	8	250	361.0
20.0	1	2017-08-19	19.0	8.0	2017.0	2	10	20	63.0
141.49	1	2017-12-19	19.0	12.0	2017.0	2	9	250	361.0
56.0	1	2018-02-19	19.0	2.0	2018.0	2	8	20	80.0
3740.0	1	2018-02-19	19.0	2.0	2018.0	2	8	16	35.0
3740.0	1	2018-02-19	19.0	2.0	2018.0	2	8	16	35.0
700.0	1	2017-08-19	19.0	8.0	2017.0	2	8	16	48.0
28.0	1	2018-02-19	19.0	2.0	2018.0	2	8	20	80.0
3740.0	1	2017-09-19	19.0	9.0	2017.0	2	8	16	35.0
2.3	1	2018-02-19	19.0	2.0	2018.0	2	8	20	71.0
3340.02	1	2018-02-19	19.0	2.0	2018.0	2	8	25	102.0
1250.0	1	2017-09-19	19.0	9.0	2017.0	2	8	28	117.0
3740.0	1	2017-09-19	19.0	9.0	2017.0	2	8	16	35.0
407.39	1	2017-09-19	19.0	9.0	2017.0	2	8	20	61.0
420.0	1	2017-09-19	19.0	9.0	2017.0	2	8	16	48.0
1250.0	1	2018-02-19	19.0	2.0	2018.0	2	8	28	117.0
200.0	1	2018-02-19	19.0	2.0	2018.0	2	8	20	74.0
97.28	1	2018-02-19	19.0	2.0	2018.0	2	10	20	81.0
173.07	1	2017-08-19	19.0	8.0	2017.0	2	8	20	62.0
700.0	1	2017-08-19	19.0	8.0	2017.0	2	8	16	48.0
28.0	1	2017-08-19	19.0	8.0	2017.0	2	10	20	80.0
200.0	1	2017-09-19	19.0	9.0	2017.0	2	8	20	79.0
213.45	1	2017-09-19	19.0	9.0	2017.0	2	8	20	61.0
1.5	1	2018-02-19	19.0	2.0	2018.0	2	8	20	673.0
200.0	1	2018-02-19	19.0	2.0	2018.0	2	8	20	79.0
152.98	1	2018-02-19	19.0	2.0	2018.0	2	9	26	354.0
1058.0	1	2017-08-19	19.0	8.0	2017.0	2	9	16	36.0
718.28	1	2018-02-19	19.0	2.0	2018.0	2	8	25	108.0
100.0	1	2018-02-19	19.0	2.0	2018.0	2	8	20	99.0
9.4	1	2018-02-19	19.0	2.0	2018.0	2	8	26	111.0
554.48	1	2018-02-19	19.0	2.0	2018.0	2	8	20	61.0
3320.38	1	2018-02-19	19.0	2.0	2018.0	2	8	25	102.0
